date,report_org_code,org_code,activity,humanitarian_or_development,state,township,beneficiaries,new_beneficiaries
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,362,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,20,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Maungdaw,69,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,201,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,8,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,80,80
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,5,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,1016,1016
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,51,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Buthidaung,68,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,357,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,22,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Buthidaung,31,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,141,141
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,17,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,153,153
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,6,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,348,0
